! ٭٭٭ گریباں گیر برسوں بعد میں نے اسے شہر کے ایک معمولی ہوٹل میں داخل ہوتے ہوئے دیکھا۔
! کو پوچھا تو کاؤنٹر والی لڑکی نے متعلقہ آفس سے کمپیوٹر مشین (جو ٹائپ رائٹر کی طرح ہوتی ہے۔
!! اک خواب وہی تو تھا جو ٹوٹ گیا آخر پل بھر میں گنوا بیٹھا اک عمر کا حاصل تھا۔
!مارچ ء کے دن مولانا خواجہ حسن نظامی کے ہمراہ نواب صاحب نے پہلی بار علامہ اقبال سے ملاقات فرمائی۔
گو یہاں ان کے مال اور جانیں بچ گئیں لیکن اللہ کے ہاں یہ دردناک عذاب کا شکار بنیں گے۔
گو یہاں سوار و روانہ دونوں فارسی نظمیں ہیں لیکن واؤ ان دونوں مفردوں کے عطف کے لئے نہیں ہے۔
گوارا مجھ کو مل گیا تیری محبت کا سہار ا مجھ کو موج یک خون تبسّم تو نظر آئ تھی۔
گوتم بد ھ بذات خود اگرچہ بہار کی ریاست کے ایک شہزادے تھے لیکن انہوں نے خود حکومت نہ کی۔
گود میں چھوٹے چھوٹے بچے رکھتی ہے اور نہایت احترام کے ساتھ شوہر کے خاندان میں زندگی بسر کرتی ہے۔
گور کو بہرام ران پر داغ تازہ دے کے وہیں اور داغ آپ کی غلامی کا خاص بہرام کا ہے۔
گورنام:کہئے کہئے ! شری ہری:بات یہ ہے کہ آپ کی کنڈلی میں کسی متر کے ہاتھوں لابھ کا جوگ ہے۔
گوشت پوست کا یہ جمالیاتی پیکر سلطان قلی قطب شاہ کی گوشت پوست کی عورتوں کے ہجوم سے علیحدہ ہے۔
گوشت کو چھری سے نہ کاٹو یعنی چھری سے کاٹ کاٹ کر نہ کھاؤ کیونکہ یہ عجمیوں کا طریقہ ہے۔
گول پتّھر آنکھ کے گھیرے زمیں کا درد کیا سفّاک جانے بلندی پر ہوا کے سو ٹھکانے بجاتی جائے ہے۔
گولی پتہ نہیں اس آدمی کے جسم کے کس حصے سے ٹکرائی، اس کے منھ سے ایک دردناک چیخ نکلی۔
گولیار کے فصحاء کی افضلیت خان آرزو سے بھی ثابت ہوتی ہے اور وہ بھی گوالیاری کو مستند جانتے ہیں۔
گوپی چند نارنگ کا اسلوبیاتی نظر یۂ تنقید پروفیسر گوپی چند نارنگ کی اسلوبیاتی تنقید کے دوپہلوہیں، نظری اور عملی۔
گویا آنحضرت صلی اللہ علیہ و سلم نے اس فعل کو لفظ عقیقہ سے موسوم کئے جانے کو ناپسند فرمایا۔
گویا اس سعادت و نعمت کے حصول میں اپنی تقصیر و کوتاہی اور حسرت کا اظہار ہے جو صحیح ہے۔
گویا اس لفظ کا مطلب یہ ہے کہ : کان عثمان یجہز اہل الشام واہل العراق لغزوۃ ہاتین الناحیتین وفتحہما۔
گویا اصول فقہ کی اصطلاح میں سلیمان علیہ السلام کے استحسان کو اپنے قیاس کے مقابلہ میں قبول فرما لیا۔
گویا ان تینوں پر خدا کی پہلی مہربانی تو یہ ہی تھی کہ ایمان و اخلاص بخشا، نفاق سے بچایا۔
گویا ان دونوں حضرات کی غرض کا حاصل یہ تھا کہ مال غنیمت میں سے جو خمس نکالا جاتا ہے۔
گویا بچا کے دامن بتوں سے اپنا غبار راہ حجاز ہو جا فراق تلاش گوشۂ عزلت میں پھر رہا ہوں۔
گویا جس حالت سے سات آسمانوں کی تخلیق عمل میں آئی اسے بھی قرآن نے سمآء سے تعبیر کیا ہے۔
گویا راوی نے یہ بیان کیا کہ آنحضرت صلی اللہ علیہ وسلم نے یمشی کا فاعل الرجل مراد لیا ہے۔
گویا ریا کا تعلق تو حاسہ بصر (دکھانے) کے ساتھ ہوتا ہے اور سمعہ کا تعلق حاسہ سمع(سنانے) کے ساتھ۔
گویا ریاء کا تعلق تو حاسہ بصر (دکھانے) کے ساتھ ہوتا ہے اور سمعہ کا تعلق حاسہ سمع(سنانے) کے ساتھ۔
گویا سانپ ہے تو پیٹھ پھیر کر بھاگے اور پیچھے مڑ کر نہ دیکھا (حکم ہوا کہ) موسی ڈرو مت۔
گویا لترکبنّ کا لفظ اس امر پر دلالت کرتا ہے کہ یہ اوپر جانا کسی سواری کے ذریعے ہو گا۔
گویا مال مستفاد کی تعریف یہ ہوئی کہ وہ مال کی جنس سے ہو اور درمیان سال حاصل ہوا ہو۔
گویا متنبہ فرما دیا کہ جس قوم سے خدا راضی نہ ہو، کوئی مومن قانت کیسے راضی ہو سکتا ہے۔
گویا منافقین اور دیگر دشمنان اسلام و مسلمین کی سازشوں سے بچنے کے لئے صبر اور تقوی نہایت ضروری ہے۔
گویا میرے لیے مخصوص یہ ہے کہ تیرے ہر ہر عمل کا پورا پورا بدلہ میں تجھے ضرور دوں گا۔
گویا نیند تو نام ہی سکون و استراحت کا ہے، آگے نیند کی مناسبت سے رات کا ذکر کرتے ہیں۔
گویا وہ آج کے دور میں بیٹھ کر تقریبا 90 سال پہلے کے آدمی کا حقیقی مطالعہ کر رہے ہیں۔
گویا وہ ایک طرح سے صحابہ کو نزول حکم سے پہلے مرضی الہی پر فی الجملہ مطلع کر رہے تھے۔
گویا وہ دوکان متاع نظر بن گئی ہیں، اگر تجھے اس متاع کی خریداری و قدردانی منظور ہے تو آ۔
گویا وہ زمین پر ہی رہ رہی ہو، اگرچہ اہل زمین کو اس کے برعکس نظر آ رہا ہو گا۔
گویا وہ غلافوں میں رکھے ہوئے موتی ہیں اور ایک دوسرے کی طرف متوجہ ہو کر آپس میں پوچھیں گے۔
گویا وہ قومی دفاع کی خاطر کارخانوں میں کام کرنے والے مزدور ہیں اور پھر وہ بچارے کرتے بھی کیا۔
گویا وہ کبھی ان میں بسے ہی نہ تھے، یاد رکھو! (قوم) ثمود نے اپنے رب سے کفر کیا تھا۔
گویا پچیس من 12,1/2 سیر یا اس سے زائد کھجوروں میں دسواں حصہ زکوۃ کے طور پر نکالا جائے گا۔
گویا پچیس من 12.1/2 سیر یا اس سے زائد کھجوروں میں دسواں حصہ زکوۃ کے طور پر نکالا جائے گا۔
گویا پہلی اجل سے مراد پیدائش سے لے کر موت تک انسان کی عمر ہے اور دوسری اجل مسمی ہے۔
گویا کسی مسلمان کو جائز نہیں کہ دوسرے مسلمان کو تجارت کے نام سے دھوکہ دے، یہ حدیث مرسل ہے۔
گویا کہ وہ اس وقت تک نماز ہی میں ہے اور اس کے لئے فرشتے ہمیشہ دعائے رحمت مانگتے ہیں۔
گویا گیسو سے بالوں کی وہ مخصوص وضع مراد نہیں ہے جس کو ہماری زبان میں زلف کہا جاتا ہے۔
گویا ہمارے باپ دادے نرے جاہل اور بیوقوف ہی تھے جو اتنے دیوتاؤں کے سامنے سر عبودیت خم کرتے رہے۔
گویا یہ شیطان کا مکرو تلبیس ہوگا کہ وہ اس حیلے سے ان کو بت پرستی کی طرف لائے گا۔
گپتا : (پولیس والوں کو ڈانٹتا ہے) اتنا کیوں مار رہے ہو اس بے چارے کو چلے جاؤ یہاں سے۔
گپتا :جی سر!ہم ہر طرح سے کوشش کر کے تھک گئے لیکن وہ اس جرم کا اعتراف ہی نہیں کرتا۔
گڑھے برابر کر دئے گئے اور درخت کاٹ ڈالے گئے اور ان کی لکڑیاں مسجد کے سامنے لگا دی گئیں۔
گڑیوں کے ذریعہ بچیوں کو گھر گرہستی کے بہت سے کام آ جاتے تھے اور باتیں معلوم ہو جاتی تھیں۔
گھاس کے ڈھلوانی میدان کو عبور کر کے وہ ایک ذخیرے میں داخل ہوئے تو داؤد نے قدم روک لئے۔
گھبراؤ نہیں، جب تک تمہیں مکمل طور پر گھر جانے کی اجازت مل جائے گی، وہ بن چکی ہو گی۔
گھبراہٹ میں فریقین نے یہ سمجھ کر کہ دوسرے فریق نے دھوکا دیا، ایک دوسرے پر حملہ شروع کر دیا۔
گھر آتے ہی بتاؤ بچوں کو کالی کریں نہ دیواریں وہ کہہ بھی سکتا تھا، آخر مکان اس کا تھا۔
گھر آنے پر جب اس نے جھولی میں اپنے روٹی کے چند ٹکڑے تلاش کئے تو اسے بہت مایوسی ہوئی۔
گھر اس کا نہ مسجد ہے، نہ مندر، نہ کلیسا وہ ذ ات کسی ٹوٹے ہوئے دل میں مکیں ہے۔
گھر رکھ کر تجھ سے روٹھ کے جانے والے جان ہی اپنی ہار گئے میں بھی رستہ دیکھ رہا ہوں۔
گھر سے تو نکلتا نہیں دن بھر کوئی پرویزؔ اس شہر میں کچھ اور گھٹن ہو بھی تو کیا ہے۔
گھر سے جتنے پیسے ملتے میں انہیں جوڑ جوڑ کر بازار سے افسانوں کی کتابیں خریدنے میں صرف کر دیتا۔
گھر مگر مفقود گھر کے راستے کھو گئے آخر کہاں معبود گھر کے راستے فاصلہ ہو دل میں تو ہیں۔
گھر میں اک گھر میرے حصّے کا لکیریں کھینچنے پایا نہ سطح آب پر ورنہ وہ دینا چاہتا تو تھا۔
گھر میں تو میں بھی ہوں، اللہ رکھے تمہارے بھائی ہیں، بہنیں ہیں، ہم سب نے تمہارا کیا قصور کیا؟
گھر والوں کے درمیان یعنی گھر میں اہل و عیال کے ساتھ یا تنہا وہ کس حال میں رہتے ہیں۔
گھر والے مال اور اعمال اہل و مال لوٹ آئے عمل ساتھ رہ گئے مسند احمد کی حدیث میں ہے۔
گھر پہنچ کر اس کی ساری کوشش یہی ہوتی کہ سب کھائیں پئیں اور اپنے اپنے بستروں میں دبک جائیں۔
گھر کی زینت آرائشی سامانوں سے ہوتی ہے اور زیتون کا تیل لکس صابن اور عطریات کی بہتات ہوتی ہے۔
گھر کے راستے میں آنے والے قبرستان میں نرگس کے پودے کئی بار زمیں سے اونچے ہوئے، پھولے اور مرجھائے۔
گھر کے سارے کام بدستور چل رہے تھے مگر آپ کو معلوم ہو رہا تھا کہ گاڑی رکی ہوئی ہے۔
گھر کے فاتر العقل مالک اور سارے سامان کو ایک بوڑھے دربان اور ایک بڑھیا کنیز کے ساتھ چھوڑ دیا۔
گھر کے کسی تنگ کمرے اور تنگ کمرے کے کسی گرد آلود طاقچے پر رکھی ہوئی کچھ آدھی ادھوری خواہشیں۔
گھر ہو یا محفل ہر جگہ ان کے روئے سخن سے باور آتا کہ راقم ان کا مخاطب صحیح ہے۔
گھروں سے کام کی خاطر نکلنے والوں کے شام کو لوٹنے تک گھر میں رہنے والے وسوسوں میں گھرے رہتے۔
گھروں، بازاروں، دفاتر اور پارکوں میں ہر جگہ صرف عورتیں ہی نہیں، مرد اور بچے بھی باپردہ نظر آنے لگے۔
گھرکے ڈھیرسارے کام کرتے کرتے سمے بیت جاتاہے اور پھر میرا بیٹابھی ہے جس کی دیکھ بھال کرتی رہتی ہوں۔
گھنٹی کی آواز بھی کم سے کم تر ہوتی جائے گی اور آخر کار بالکل ہی ختم ہو جائے گی۔
گھنی گہری، عمدہ اور پاکیزہ چھاؤں جس کا ترجمہ میں ' پوری راحت ' سے تعبیر کیا گیا ہے۔
گھور اندھیرے میں اسے سوائے مزار، دور دور تک پھیلی خاموشی، اکیلے پن اور سناٹے کے کچھ بھی نہ ملا۔
گھوڑا، لگام دے کر جیب خالی، بھر ذرا چالان آرزو ہر اشتہار پیدا کرے آرزو نئی ہم بن گئے ہیں۔
گھوڑے کو دیکھ کر قصاب اور چمار اس آس میں ہیں کہ جلد ہی گوشت اور چمڑہ مل جائے گا۔
گھٹ کر ہوا مثل شرر تارے سے بھی کم نور تر شیدائی غائب نہ رہ، دیوانۂ موجود ہو غالب ہے۔
گھٹن کب دیر تک رستہ ہوا کا روک پائی اسے کہہ دو کہ میں پھر سے رواں ہونے لگا ہوں۔
گھٹنوں سے نیچے تک لمبے کرتے کے اوپری کھلے بٹن میں سے سینے میں اگے سیاہ بال جھانک رہے تھے۔
گھڑا گھڑایا اور یہ کچھ تو ہم نے اپنے اگلے باپ دادوں کے وقت میں بھی کبھی نہیں سنا ۔
گھڑی وصل کی زمانے گئے ہجر کی رات کے پھول تھے، بادل بھی تھا اور وہ حسیں صورت بھی تھی۔
گھڑیاں بھی 15 سے 40 ریال تک کی ہیں، ان دوکانوں پر بھی اردو اور عربی میں لکھا ہوتا ہے۔
گھیسو کہتا ہے کہ جیتے جی تن ڈھانکنے کے چتھڑے نہ ملے مر نے پر نیا کفن کیا کرے گی۔
گہرا سانولا رنگ، جس پر اب جھریوں کا جال بچھنے لگا تھا، آنکھوں کے پاس گال پر بڑا سا مسّہ۔
گہرا صدمہ ہوا، ایسا صدمہ کہ بیمار ہو گئی اور ایک برس تک زندگی اور موت کے درمیان معلق رہی۔
گی، ایک تو دیکھنے میں سفید پانی معلوم ہو گی اور دوسری دیکھنے میں بھڑکتی ہوئی آگ معلوم ہو گی۔
گی، ایک گوشہ والیاں دوسری طرف والیوں کو نہیں دیکھ سکتیں اور مومن لوگ ان کے پاس پھرتے رہیں گے۔
گی، جن کا واحد مقصد مسلمانوں کو بے وقوف بنا کر دنیا سمیٹنا، اور صرف ذاتی منافع حاصل کرنا ہوگا۔
گیارہ بارہ سال کی عمر میں دادی سے پریوں کی کہانیاں سنیں او ر اسی عمر میں نئی ماں آئیں۔
گیارہویں رکوع میں واعْتصموْا بحبْل اللّہ جمیْعا الخ سے اس امت کی کتاب و شریعت کی مضبوطی کا اظہار فرمایا۔
گیان چند جین نے "یادگار غالب کے بعد شیخ محمد ا کرام کی آثار غالب" کو ایسی کتاب بتایا ہے۔
گیان چند جین کو بھی اس بات سے اتفاق ہے کہ للوجی لال کی کتاب "ہندو دھرم" کی کتاب تھی۔
گیتی کی عدم دلچسپی اور کام کی مصروفیت کی وجہ سے رومی کو ڈھونڈنے کی تگ و دو نہ کی۔
گیٹ کےپاس کھڑےسپاہی ہر چیز کو شک کی نظروں سےدیکھتےاور بلاوجہ ہر چیز کی تلاشی لےکر ان کےبارےمیں الٹےسیدھےسوالات کرتے۔
گیہواں رنگ دھرتی کا حسن سمیٹے زمین کی خوشبوؤں کو لیے، گیہواں رنگ کے لہراتے بال، اکثر حاملہ رہتی ہے۔
گے! (ھما) مجیدن کی موت کے وقت راجہ رستم علی خاں کی اکلوتی بیٹی شیریں تین چار سال کی تھی۔
گے!تم اپنی کلہاڑی چھوڑ جاؤ! وہ آتے ہی ٹھیک کر دیں گے، تم آؤ گے تو تیار ملے گی! دیہاتی۔
گے) اے ہمارے رب! ہم نے خوب دیکھ لیا اور سن لیا پس تو ہمیں واپس بھیج دے، کریں گے۔
گے، (50) تو نہ وصیت کر سکیں گے اور نہ اپنے گھر پلٹ کر جائیں (51) اور پھونکا جائے گا۔
گے، آسمان سے وحی اترتی ہی ان کے اوپر ہے، اب صحابہ نے کہا ! تو پھر ہم لوگ ہیں۔
گے، اس کی عبادت میں بے جان یا عاجز و محتاج مخلوق کو شریک کرنا کہاں تک روا ہو گا۔
گے، ان کو چاندی کے کنگن پہنائے جائیں گے، اور ان کا رب ان کو نہایت پاکیزہ شراب پلائے گا۔
گے، ان کے کرتے کپڑے ڈامر کے ہوں گے اور ان کے چہروں پر آگ لپٹی ہو ئی ہو گی۔
گے، اور اگر تم صبر کرتے رہو اور تقوی اختیار کئے رکھو تو یہ بڑی ہمت کے کاموں سے ہے۔
گے، اور میں تم سے ایک بات کہتا ہوں اور اس بات کے کہنے سے اظہار فخر مقصود نہیں ہے۔
گے، بلکہ ان کو بھی دوسرے کھلے کفار کی طرح بھی ہمیشہ کے لئے دوزخ میں جھونک دیا جائے گا۔
گے، جبکہ کافر جہنم کے عذاب سے تنگ آ کر چلا رہے ہوں گے کہ ہمیں یہاں سے نکال دو۔
گے، جنت میں بچے ہوں گے اور جنت میں وہ ہوں گے جن کو جیتے جی گاڑ دیا گیا ہے۔
گے، جنتیوں کو ان کے سفید اور نورانی چہروں سے اور دوزخیوں کو ان کی روسیاہی اور بد رونقی سے۔
گے، جو اللہ کی راہ میں جدوجہد کریں گے اور کسی ملامت کرنے والے کی ملامت سے نہ ڈریں گے۔
گے، طرح طرح کی راگ راگنیاں اور خوش کن آوازیں دل فریبی سے ان کے دلوں کو لبھا رہی ہوں۔
گے، لیکن اس میں اس طرح ملے ہوں گے جس طرح محبت کرنے والے ایک دوسرے سے ملے ہوتے ہیں۔
گے، مگر ایک بات ان سب میں مشترک ملے گی، اور وہ یہ کہ یہ خیالات "معالم فی الطریق" ہیں۔
گے، وہ جوں ہی کھڑ ے ہو نا چاہیں گے، گر پڑیں گے اور لوگ ان کو روندتے رہیں گے۔
گے، چنانچہ حنفیہ کا یہی مسلک ہے کہ حجر اسود کی طرف اشارہ کر کے اس کو نہ چوما جائے۔
گے، چنانچہ سب سے پہلے آپ صلی اللہ علیہ و سلم نے اللہ کی حمد و تعریف کی ہو گی۔
گے، کیونکہ دنیا کے دارالعمل میں صدق ایمان اور انفاق فی سبیل اللہ کی وہ دولت انہوں نے کمائی تھی۔
گے، یا پھر اس لیے ذکر نہیں کیا کہ یہ دونوں چیزیں بھی منہ کی حد میں آ جاتی ہیں۔
گے، یہ اللہ کی قدرت کا کرشمہ ہو گا جس نے ہر چیز کو حکمت کے ساتھ استوار کیا ہے۔
گے، یہ سراسر عدل و انصاف ہے اور ظاہر ہے کہ مالک اپنے غلاموں پر ظلم کرنے والا نہیں ہے۔
ں اور رسول اللہ صلی اللہ علیہ و سلم کی لائی ہوئی شریعت یعنی دین اسلام میں بھی سنت ہیں۔
ں شاہ بطحی کو کراہوں کی صداؤں نے چرا لی نیند آنکھوں سے بدر کے قیدیوں کو باندھ رکھا تھا۔
ھ ابوسفیان نے ایک آدمی مدینہ منورہ بھیجا تاکہ وہ موقع پا کر رسول اللہﷺ کو قتل کر دے۔
ھ میں بمقام دمشق فوت ہوئے، اور باب الصغیر میں دفن کئے گئے اس وقت ان کی عمر سال تھی۔
ھ میں رحمۃ اللعلمین رسول اللہ ﷺ اور مشرکین کے درمیان دس سال کے لئے ایک اہم معاہدہ ہوا تھا۔
ھ میں پیدا ہوئے اور تیرہ برس کوفہ میں اور دو برس بغداد میں قاضی رہے ھ میں وفات پائی۔
ھ) ابوالحسن علی بن احمد الحرالی( ھ م) نے بھی نظم و مناسبت کی رعایت سے تفاسیر لکھی ہیں۔
ھذا ما و عدک اللّہ فی الدّنْیا ' یہ وہ ہے جس کا اللہ نے دنیا میں وعدہ کیا ہے۔
ھو اللہ الخالق الباری المصور لہ الاسمآء الحسنی یسبح لہ ما فی السموت والارض وھو العزیز الحکیم وہی اللہ ہے۔
ہائی کورٹ کی پرانی بلڈنگ کے سامنے ایک صاحب کو ہم نے دیکھا کہ وہ کیمرہ وغیرہ لئے کھڑے ہیں۔
ہائے کیا لوگ تھے جو دام اجل میں آئے ء میں جارج پنجم کی سلور جوبلی منائی جا رہی تھی۔
ہائے کیا لوگ تھے جو دام اجل میں آئے چالیس برس گزر گئے اکبر پور میں سالانہ مجالس ہوتی تھیں۔
ہائے ہائے مجھے معلوم نہیں اسی وقت آسمان سے ایک منادی کی ندا آتی ہے کہ میرا بندہ جھوٹا ہے۔
ہابیل کے ساتھ پیدا ہونے والی بہن بدصورت تھی، جب کہ قابیل کے ساتھ پیدا ہونے والی بہن خوبصورت تھی۔
ہاتھ بڑھا کر میز پر سے ایک سگریٹ اٹھایا اور سلگا کر طشتری میں رکھ دیا اور پھر اونگھنے لگا۔
ہاتھ چھڑا کر جانے والے عشق کی انتہا تک نہ پہنچے تب یہ جانا کہ ہم بے ہنر تھے۔
ہاتھی کی طرح ڈیل ڈول والا جھنگا پہلوان بھلا ان کی سی پھرتی اور تیزی سے کہاں دوڑ سکتا تھا۔
ہارتے وقت، فتح پور کے نورالہدی انگلش اسکول کے احاطے میں دفنائے جانے کی خواہش ظاہر کی، جو پوری ہوئی۔
ہارون عباس سے اسی دن طے ہو گیا تھا کہ اگر ایسا کچھ لکھوں گا تو ان کو بھیجوں گا۔
ہارے جی سے لوگوں کے دکھانے کو اور یاد نہ کریں اللہ کو مگر تھوڑا سا ادھر میں لٹکتے ہیں۔
ہال کے ایک سرے سے دوسرے سرے تک بچھی ہوئی کھانے کی میز ولایتی کرا کری سے سجی ہوئی تھی۔
ہانی کو یہ بات ناگوار تو گزری مگر انھوں نے پھر بھی سلام کیا لیکن اس نے جواب نہیں دیا۔
ہاں ! تمہاری آنکھیں میرے چہرے میں کسی اور کی مشابہت ڈھونڈتی ہیں، میں ٹھیک کہہ رہی ہوں؟
ہاں ! خشیت، تقوی، گناہوں سے اجتناب اور نیکیوں پر پابندی کے اعتبار سے ہر ایک میں درجہ بندی ہے۔
ہاں ! میں کہتا ہوں کہ یہ نسل ہی ان کے خون کی ذمہ دار ٹھہر ا ئی جائے گی۔
ہاں ! یہ البتہ درست ہے کہ اس مقدمے نے غالبؔ سے شیفتگی کی لہر کو تیز تر کر دیا۔
ہاں ! یہ الگ بات ہے کہ ان کی ترتیب سائنٹفک انداز میں نہیں اور ہو بھی نہیں سکتی تھی۔
ہاں (اب) اللہ نے ہمیں اسلام کی دولت سے مشرف فرمایا ہے، (تو دین کے تمام احکام سیکھ لوں گا۔
ہاں اتنی بات ضرور ہے کہ ذوی الارحام کو میت کے ترکہ میں سے میراث اسی صورت میں ملتی ہے۔
ہاں اس پہاڑ کی طرف دیکھ یہ اگر اپنی جگہ پر ٹھہرا رہا تو عنقریب تو مجھے دیکھ لے گا۔
ہاں اس کا احتمال ہو سکتا ہے کہ آپ صلی اللہ علیہ و سلم درمیان میں وضو فرما لیتے ہوں۔
ہاں اسی کے در و بام کی بات ہے، بڑھ نہ جائیں کہیں دوریاں دوستو شاعری نہ تو پیغمبری ہے۔
ہاں البتہ میری رحمت بڑی وسیع چیز ہے جو سب پر شامل، سب پر حاوی اور سب پر محیط ہے۔
ہاں اللہ کے اختیار میں کسی کا بس نہیں وہ اگر چاہے تمام مخلوق کو ہدایت پر کھڑا کر دے۔
ہاں ان کی بہن نے تو زبان کھول دی اور میرے بارے میں ہلاک ہونے والوں میں شامل ہو گئی۔
ہاں انہیں اس میں سے کھلاتے رہو اور پہناتے رہو اور ان سے بھلائی کی بات کیا کرو 6۔
ہاں اپنی اولاد کا غیر افضل ہونا اس بات کو لازم کرتا ہے کہ اس سے محبت بھی زیادہ ہو۔
ہاں اگر اس نے یہ بات اہانت کے طور پر کہی ہے تو ان کے نزدیک بھی کافر ہوجائے گا۔
ہاں اگر اپنی ہی قسمت کھوٹی ہو تو اس کا علاج تو خدا کے سوا کسی کے پاس نہیں "۔
ہاں اگر بعد میں مالک آجائے تو پھر اس کا بدل دینا ہوگا جیسا کہ پہلے ذکر کیا گیا ہے۔
ہاں اگر خطاب کا ارادے نہ کرے بلکہ قرأت کے ارادہ سے پڑھے گا تو نماز فاسد نہیں ہو گی۔
ہاں اگر دوسرے خاوند سے حاملہ نہیں ہو گی تو اس دودھ کا سبب پہلا ہی خاوند سمجھا جائے گا۔
ہاں اگر محرم نے حالت احرام میں کوے کویا لومڑی وغیرہ کو مار ڈالا تو اس یبدلہ دینا پڑے گا۔
ہاں اگر میت کی ماں زندہ نہ ہوگی تو اس کے ترکہ میں سے جدہ کو چھٹا حصہ ملے گا۔
ہاں اگر نکاح کے بعد وہ منکوحہ سے جماع کر لے تو باندی سے جماع کرنا حرام ہو جائے گا۔
ہاں اگر وہ جوتے اس کے جوتے سے خراب ہوں تو پھر ان کو استعمال کرنا بلاشبہ جائز ہو گا۔
ہاں اگر وہ زیادہ مقدار میں جائیں کہ جس سے حلق میں نمکینی محسوس ہو تو روزہ ٹوٹ جائے گا۔
ہاں اگر وہ قصدا نگل جائے اور منہ بھر کر ہو تو سب ہی کے نزدیک روزہ جاتا رہے گا۔
ہاں اگر کوئی عذر پیش آجاتا یا بیان جواز کا اظہار مقصود ہوتا تو کبھی ترک بھی فرما دیتے تھے۔
ہاں بعض لوگوں نے اس مشکل کا یہ جواب دیا ہے کہ حضرت شعیب کی بڑی لمبی عمر ہوئی تھی۔
ہاں بندہ پر رحمت الہیہ کا نزول اسی قدر ہوتا ہے جس قدر عمل کی روح اس میں موجود ہو۔
ہاں بہکاتا پھسلاتا ہے اور اتنی قدرت بھی اس لیے دی گئی کہ بندوں کا امتحان و ابتلاء منظور تھا۔
ہاں بیمار دل والے تو جہاں نیا حکم آیا انہیں فورا نیا درد اٹھا قرآن کریم میں اور جگہ ہے۔
ہاں تاخیر درست ہے کہ دوسرے دن کی رمی بھی تیسرے دن کی رمی کے ساتھ کی جا سکتی ہے۔
ہاں جب اس کے نکاح کی اجازت اس سے لی جائے تو وہ اپنی رضا مندی و اجازت دیتی ہے۔
ہاں جب وہ مر جاتا تو سب بیٹھ کر اس کا گوشت کھا جاتے، سائبہ اس جانور کو کہتے ہیں۔
ہاں جس فاسق و گناہ گار کو اللہ تعالی چاہے تو اسے بخش دے اور اس کی مغفرت کر دے۔
ہاں جو اس پر یقین کرے ایمان لائے نیک عمل کرے اسے یہ کتاب اجر عظیم کی خوشی سناتی ہے۔
ہاں جو حیلہ حکم شرعی کو باطل نہ کرے بلکہ کسی معروف کا ذریعہ بنتا ہو اس کی اجازت ہے۔
ہاں جو دانت اور ناخن اپنی جگہ سے اکھڑ کر ( منہ اور انگلیوں سے ) الگ ہو چکے ہوں۔
ہاں حضرت یعقوب علیہ السلام نے ایک ظاہری تدبیر پوری کی کہ اس سے وہ نظر بد سے بچ جائیں۔
ہاں دیدار الہی کے اشتیاق و شوق اور عالم آخرت کی محبت کی وجہ سے موت کی آرزو جائز ہے۔
ہاں رسول اللہ صلی اللہ علیہ والہ وسلم سے مرسل روایات کے بارے میں ایسی صورتیں مجھے ضرور ملی ہیں۔
ہاں عورت شعر کہے اور عورت بن کر سوچے، یہ تو وہ عیب تھا جو کسی نے نہیں کیا تھا۔
ہاں غزوہ بدر کا ذکر نہیں، اس میں جو لوگ شامل نہیں ہوئے تے ان پر کوئی سرزنش نہیں ہوئی۔
ہاں قدم قدم اور لمحہ لمحہ پر خوف رکھو اور میری آیتوں کو تھوڑے تھوڑے مول فروخت نہ کیا کرو۔
ہاں قرآن سنا سنا کر بالخصوص ان کو نصیحت اور فہمائش کرتے رہیے جو اللہ کے ڈرانے سے ڈرتے ہیں۔
ہاں مزید نظافت، نورانیت اور نشاط حاصل کرنے کے لئے اگر تازہ وضو کر لیا جائے تو مستحب ہو گا۔
ہاں مگر اب تو یہاں کچھ بھی نہیں پہلے سا ورنہ رہنے کو تو وہ اب بھی یہیں رہتا ہے۔
ہاں مگر ایک بات بہت اہم تھی کہ وہ ہاتھ مسلتا تو اسے اپنی ہستی کا یقین ہو جاتا تھا۔
ہاں میں کہہ رہا تھا کہ میں، خواجہ نصر الدین تمام مسلمانوں سے اپیل کرتا ہوں کہ میری پیروی کرو۔
ہاں وہ سہل کبھی نہ رہے لیکن ایسے کٹھن بھی نہیں کہ انھوں نے ان کا بہار محسوس کیا ہو۔
ہاں وہ قبولیت اللہ جل شانہ کی طرف سے عطا و بخشش حکما بھی ہو سکتی ہے اور حقیقۃ بھی۔
ہاں وہیں پر پیڑ کے نیچے، ادھر دائیں طرف ٭ ہمارے کینوس کے سرخ جوتوں نے نمی پی لی تھی۔
ہاں کسی جھوٹے خدا کی طرف بلائے گئے تو فورا آمنا و صدقنا کہہ کر اس کے پیچھے ہو لیے۔
ہاں کسی شخص کو متعین کر کے یعنی اس کا نام لے کر اس پر لعنت بھیجنا جائز نہیں ہے۔
ہاں گنجان بستیوں میں قلعہ نشین ہو کر یا دیواروں اور درختوں کی آڑ میں چھپ کر لڑ سکتے ہیں۔
ہاں ہاں اس باب میں ابن عباس عبداللہ بن عمرو فضل بن عباس اور ابو رافع سے بھی روایت ہے۔
ہاں ہم اتنا ضرور جانتے ہیں کہ عراق کی آب و ہوا نے اچھوں اچھوں کا دماغ خراب کر دیا۔
ہاں یہ ضرور تھا کہ وہ کسی ایک اچھے گھرانے کے آدمی کو ایک دو ماہ کے لیے پھانس لیتی۔
