,      . بہت وسیع موضوع ہے اور میں محنت سے بھاگنے والا۔
یعنی الفاظ کے باہمی رشتے اور معنیاتی سلسلے محاورات کو اور عام زبان کے ساتھ ان کے رشتوں کو سمجھنے میں یہ صورت حال بہت مدد دیتی ہے۔
’’میں تحریر و تصنیف کے جملہ آداب سے واقف ہوں، میرے قلم سے بے ادبی شاذ و نادر ہی ہو سکتی ہے، میں فحش نگار نہیں افسانہ نگار ہوں۔
17 کیا وہ خالق جو (اتنا کچھ) پیدا فرمائے اس کے مثل ہو سکتا ہے جو (کچھ بھی) پیدا نہ کر سکے، کیا تم لوگ نصیحت قبول نہیں کرتے 18۔
اور اس کے دونوں گالوں پر وہ گرم اور نم آلود بوسے اور دن میں کتنی کتنی مرتبہ اس کے منہ سے شراب کی تیز بدبو تو ضرور آتی تھی۔
اوروہی (اللہ) ہے جس نے رات اور دن کو پیدا کیا اور سورج اور چاند کو (بھی)، تمام (آسمانی کرّے) اپنے اپنے مدار کے اندر تیزی سے تیرتے چلے جاتے ہیں۔
جذبوں سے بھری ہوئی رنگ پچکاری جیسی، دہشت سے نکلی ہوئی چیخ جیسی اور حیرت کے اس لمحے کی طرح جو عین صلیب پر اترے اور زندگی کا جوہر کشید کرے۔
سورۃ الْإسْراء / بنی إسْرآئیل سورت : مکی ترتیب تلاوت : 17 ترتیب نزولی : 50 رکوع : 12 آیات : 111 پارہ نمبر : 15 بسم اللہ الرحمن الرّحیم 1۔
شکیل الرحمن نے پریم چند کی کہانیوں کی روشنی میں بچوں کی نفسیات، حالات کا نفسیاتی رد عمل، اس کے اثرات اور حسی تصورات کے حوالے سے اچھی بحث کی ہے۔
قرآنی اصطلاح "رتق" کی سائنسی تفسیر ہمیں اس بات سے آگاہ کرتی ہے کہ بے پناہ توانائی نے کائنات کو اس وقت ’ابتدائی کمیتی اکائی‘ کی صورت میں باندھ رکھا تھا۔
قیلولہ دوپہر کے سونے کو کہتے ہیں، حاصل یہ ہے کہ وہ آگ شب و روز ان کے ساتھ رہے گی اور کسی بھی وقت ان سے جدا نہیں ہو گی۔
مصوّر : یہ نظم پانچ بندوں پر مشتمل ہے اور ہر بند آٹھ مصرعوں سے تشکیل دیا گیا ہے، مگر ان مصرعوں کی ترتیب سے بند کی ہیئت بدل گئی ہے۔
پر فتاوی اور شرعی فیصلہ جات کے ’فتاوی قاضی خان‘، ’فتاوی بزازیہ‘، ’فتاوی ابن تیمیہ‘، ’فتاوی امام نووی‘، ’فتاوی امام سبکی‘ اور ’فتاوی الہندیہ‘ جیسے مجموعات مرتب ہوئے۔
یوں نہ دیکھیں مجھے ترحّم سے اور کوئی عذاب دے دیجئے . طارقؔ تو یہی کہہ کے مشیت کا بھرم رکھ اچھا چلو قسمت میں مری غم ہیں تو ہوں گے۔
یہ واعظ خوش کلام، اللہ اللہ شرمندۂ ذوق عام، اللہ اللہ افسانہ تراش اور حق گو، توبہ! دیں اس کو بھی جام، اللہ اللہ لاریب کہ رہنمائے دوراں تو ہے۔
! (بخاری ) تشریح میرک رضی اللہ عنہ کہتے ہیں کہ ابن ماجہ اور احمد نے اپنی روایت میں "" رنگین"" کے ساتھ مہندی اور وسمہ کے الفاظ بھی نقل کئے ہیں۔
! آمد و خرچ کا حساب ان کا محبوب مشغلہ بھی ہے اور ہائی اسکول میں ریاضی میں امتیاز کے ساتھ کامیابی یعنی کا وہ پورا فائدہ ابھی تک اٹھاتے ہیں۔
! اب رہا کائنات کی جانب سے انسان کے مامون و مصؤن رہنے کی صورت تو وہ صرف انسان اور کائنات کی حرکت میں باہمی مطابقت اور یک جہتی پر موقوف ہے۔
! اور اگر کسی نے اپنے باپ یا اپنے دادا کو اور یا اپنی ماں کو ذبح کرنے کی نذر مانی تو تمام علماء کے نزدیک اس کی نذر لغو ہو گی۔
! اگر اللہ تعالی کی راہ میں جہاد، حج اور اپنی والدہ کے ساتھ نیکی کرنے کا مسئلہ نہ ہوتا تو میں غلام ہونے کی حالت میں فوت ہونے کو پسند کرتا۔
! تو جا اور جنت میں داخل ہو، وہاں تیرے لئے دنیا ( کی مسافت ) کے بقدر اور اس سے دس گنی مزید جگہ تیرے لئے ( مخصوص کر دی گی۔
! رشتۂ در گردنم افگندہ دوست مہ برد ہر جا کہ خاطرخواہ اوست چلو! اتنی دیر میں‌اورسب حوریں بھی آ گئیں اور زمرد حسین کو ساتھ لیے قصر دری کے باہر نکلی۔
! ساتوں سمندر اسی وجود میں ہیں، اور تمام ستارے اسی جگہ چمک دمک رہے ہیں، ان ستاروں کی کوئی تعداد بتا نہیں سکتا، لاتعداد انگنت ستاروں کی روشنی پھیلی ہوئی ہے۔
! شبانہ کو لگتا ہے کہ اس سے گلے ملنے والا یہ بوڑھا شاید سٹیا گیا ہے، وہ حیرت سے لوگوں کو دیکھتے ہوئے مسکرا کر کہتی ہے: شکریہ دادا جی شکریہ۔
! نہ جانے کیوں جولیا سچ مچ اس کے لئے مغموم ہو گئی تھی! ﴿﴾ ﴿﴾ ﴿﴾ جوزف بس چلتا ہی رہا! اسے احساس نہیں تھا کہ وہ کتنا چل چکا ہے۔
! وہ شخص ( انتہائی تحیر واستعجاب کے عالم میں ) کہے گا کہ ( پروردگار !) کیا آپ مجھ سے مذاق کررہے ہیں یا یہ کہے گا کہ آپ مجھ سے۔
! ٭٭٭ زندگی کا تسلسل (پانچوں بچے) میں نے اپنی دیانت کی سب دولتیں اپنی اولاد کو دیں فقط اور باقی عزیزوں کو صرف اور صرف اپنے حصے کا گھر لکھ دیا۔
! پھر جولیا نے دیکھا کہ وہ کار میں بیٹھ کر اسے اسٹارٹ کرنے کی کوشش کر رہا ہے! تھوڑی ہی دیر بعد وہ انجن کھولے اس پر جھکا ہوا نظر آیا۔
!! اعتبار کیا ! میں بچے کے آنسوؤں کی طرح ہو گئی اور ابھی تک آنکھوں کی طرح ہوں اور ابھی تک مسلمان ہوں! زندگی کی چھاؤں میں کوئی سورج نہیں ہے۔
!! پروفیسر بشیر احمد سوز قلم قبیلے کے سارے لوگو قلم اٹھؤ کہ ایک لمحہ زمیں کے سینے کو چاک کرنے وجود ہستی کو خاک کرنے فلک سے نیچے اتر گیا ہے۔
!مقصد یہ تھا کہ ان باتوں کی بشارت تمام صحابہ سن لیں اور اس ضمن میں ان دونوں شکایت کنندہ کو جواب بھی حاصل ہو جائے جس سے ان کو تسلی ہو۔
"        ." پھر رافی اسٹیئرنگ پر ایک بازو رکھ کر رابرٹ ٹائیلر کے انداز سے کہتا تھا۔
پس تم میں سے جس کے ساتھ قربانی نہ ہو وہ احرام کھول ڈالے (یعنی طواف وسعی ہو چکی اور عمرہ کے افعال پورے ہو گئے) اور ا سکو عمرہ کر لے۔
پس تم میں سے جو شخص اس کو پائے اس کو چاہیے کہ وہ اس کے سامنے سورہ کہف کی ابتدائی آیتں پڑھے "" اور مسلم ہی کی ایک روایت میں ہے۔
پس تم کو دھوکے میں نہ ڈالنے پائے دنیاوی زندگی (اور اس کی چمک دمک) اور تم کو دھوکے میں نہ ڈالنے پائے اللہ کے بارے میں وہ بڑا دھوکے باز ۶۔
پس تو اسے میرے بعد ہدایت نہ کرتا کہ وہ بھی وہی دیکھے جو میں نے دیکھا اور اس پر تو اسی طرح ناراض ہو جس طرح مجھ پر غضب ناک ہوا۔
پس تیرے رب نے چاہا کہ وہ جو ان ہو کر اپنا خزانہ تیرے رب کی مہربانی سے نکالیں اور یہ کام میں نے اپنے ارادے سے نہیں کیا یہ حقیقت ہے۔
پس جب ابو ایوب رسول اللہ صلی اللہ علیہ و آلہ و سلم کی خدمت میں حاضر ہوئے اور اس بات کا ذکر کیا تو آپ نے فرمایا اس میں لہسن ہے۔
پس جب اشارہ کیا جاتا واسطے اس کے آپ صلی اللہ علیہ وآلہ وسلم کی طرف ان میں سے آگے کرتے اس کو قبر میں اور فرماتے کہ میں گواہی دوں گا۔
پس جب تک ایمان پوری طرح صحیح، پختہ اور وسیع نہ ہو، کوئی مرد عاقل جو دین کا فہم رکھتا ہو اسلام، تقوی یا احسان کی تعمیر کا خیال نہیں کر سکتا۔
پس جب وہ آپ کے پاس حاصر ہوئے تو کہنے لگے چپ رہو پھر جب ختم ہوا تو اپنی قوم کی طرف واپس لوٹے ایسے حال میں کہ وہ ڈرانے والے تھے۔
پس جب وہ جنت کے دروازے پر پہنچ جائے گا اور اس کی تر و تازگی اور سرور اس میں دیکھے گا تو جتنی دیر اللہ اس کا چپ رہنا چاہے گا۔
پس جب وہ یہ کام کر لیں تو انھوں نے اپنے خون اور اموال مجھ سے بچا لیے مگر حق اسلام کی وجہ سے اور ان کا حساب اللہ کے ذمے ہے۔
پس جب کہ مشرک قرآن کریم کی آواز سنتے تو قرآن کریم، اس کو نازل کرنے والے (یعنی اللہ تعالی) اور جس پر نازل ہوا (یعنی رسول اللہﷺ ) کو گالیاں دیتے۔
پس جس آدمی کے دل و دماغ میں اس قسم کا کوئی خیال اور وسوسہ پیدا ہو تو وہ یہ کہے کہ میں اللہ تعالی پر اور اس رسول پر ایمان لایا۔
پس جس وقت لوگوں نے بہت زیادہ دستک دیں تو انہوں نے دیکھا تو ان کو علم ہوا کہ رسول کریم صلی اللہ علیہ و آلہ و سلم تشریف لا رہے ہیں۔
پس جس ہستی کے بارے میں قرآن کریم سے اتنی بڑی بات ثابت ہوتی ہو اس پر لعنت کرنے والوں اور اس کو کافر کہنے والوں کو اپنے حشر سے ڈرنا چاہیے۔
پس جو اللہ سے ڈر کر میری اطاعت کرے گا، وہ میرا ہے اور میں اس کا ہوں، چاہے دنیا کی نظر میں وہ شریف ہو یا رذیل، کمینہ ہو یا حقیر۔
پس جو شخص کوئی نا پسندیدہ چیز دیکھے تو وہ اپنی بائیں جانب تین بار پھونک دے اور شیطان سے پناہ مانگے اس لیے کہ یہ خواب اسے نقصان نہیں پہنچآئے گا۔
پس جو کوئی اس پر زیادتی کرے گا تو یقینا اس نے برا کیا اور اپنے اوپر ظلم کیا یا (یہ فرمایا کہ) اس نے اپنے اوپر ظلم کیا اور برا کیا۔
پس جو کوئی نیک عمل کرے اور وہ مومن بھی ہو تو اس کی کوشش (کی جزا) کا انکار نہ ہوگا، اور بیشک ہم اس کے (سب) اعمال کو لکھ رہے ہیں۔
پس حضرت ابو بکر صدیق رضی اللہ عنہ حضرت عائشہ رضی اللہ عنہا پر خفا ہوئے کہ تو نے لوگوں کو روک رکھا ہے اور ان کے ساتھ پانی بھی نہیں ہے۔
پس رسول اللہﷺ نے ایک قاصد کو بھیجا کہ کسی اونٹ کی گردن میں کوئی کنگن تانت کا یا اور کسی قسم کا باقی نہ رہے مگر یہ کہ کاٹ دیا جائے۔
پس رسول اللہﷺ نے جب انھیں دیکھا تو مسکرائے اور فرمایا :’’ میں سمجھتا ہوں کہ تم نے سنا ہے کہ ابو عبیدہ ( رضی اللہ عنہ ) کچھ مال لائے ہیں۔
پس رسول کریم صلی اللہ علیہ وسلم نے اس عورت کو معاف کر دیا اور کوئی سزا نہیں دی، اور صحابہ میں سے جن لوگوں نے اس بکری میں سے کھایا تھا۔
پس ساختیا تی نظریے کے فروغ میں دریداکے علاوہ رولاں بارت، کرسٹو فرنورس، لاکاں، جو لیا کرسٹیوا، فوکو، اسٹینلے فش، ولف گانگ ایزر اور جونا تھن کلر کی خدمات لائق ستائش ہیں۔
پس شکر وسپاس کی مستحق وہی ذات اقدس واعلی ہے جس نے ہمیں اس خیر عظیم سے نوازا، ورنہ ہم راہ حق و ہدایت سے کبھی سرفراز و فیضیاب نہ ہو سکتے۔
پس عبدالرحمن بن عوفؓ نے آپﷺ سے عرض کی کہ یا رسول اللہ ! آپﷺ (روتے ہیں تو آپﷺ نے فرمایا : ’’ اے ابن عوف ! یہ تو ایک رحمت ہے۔
پس عصر کی نماز کے بعد ان سے قسم لی کہ نہ انہوں نے خیانت کی ہے، نہ جھوٹ بولا ہے، نہ بدلا ہے، نہ چھپایا ہے، نہ الٹ پلٹ کیا ہے۔
پس فرعون نے بھی ان کا ساتھ یہ کیا سب کے ہاتھ پاؤں الٹی سیدھی طرف سے کاٹ کرسولی پر چڑھا دیا وہ جماعت جو سورج کے نکلنے کے وقت کافر تھی۔
پس مخلوق میں سے جس کسی کو اس دنیا میں جو بھی کچھ ملتا ہے، وہ سب اسی کی طرف سے ہوتا ہے، اور اسی کی عطاء و بخشش سے ملتا ہے۔
پس مرد ان میں ہرگز بغیر تہبند کے داخل نہ ہوں اور عورتوں کو ان میں داخل ہونے سے منع کرو الا یہ کہ کوئی مریضہ ہو یا نفاس والی عورت ہو۔
پس معبود برحق بھی وہی واہب معلق ہے، جلّ جلالہٗ وعمّ نوالہ، اور عبادت و بندگی کی ہر قسم اور اس کی ہر شکل اسی کا اور صرف اسی کا حق ہے۔
پس میری نماز اور قربانی اور موت و زندگی تمام کی تمام خداوند قدوس کے واسطے ہے جو کہ تمام ہی جہان کا پالنہار ہے اور اس کا کوئی شریک نہیں ہے۔
پس نکاح کے بعد ہی میاں نے بیوی کو اس سے پہلے ہی اگر طلاق دے دی ہے تو اگر مہر مقرر ہو چکا ہے تو اس کا آدھا دینا پڑے گا۔
پس وہ انہیں بتوں کی پوجا کرنے کا حکم دے گا اور وہ اپنے رزق سے فائدہ حاصل کرتے ہوں گے اور ان کی زندگی بڑے آرام سے گزر رہی ہو گی۔
پس وہ یکتا اور ہر اعتبار سے وحدہٗ لاشریک ہے، اور عبادت و بندگی کی ہر قسم اور اس کی ہر شکل اسی کا اور صرف اسی کا حق اور اختصاص ہے۔
پس وہاں احسان اسلام رکھنے کو بیان کر کے اپنا احسان ہدایت ایمان جتانا بھی ایمان واسلام کے ایک ہونے پر باریک اشارہ ہے، مزید دلائل صحیح بخاری شریف وغیرہ ملاحظہ ہوں۔
پس کامل قدرتوں والے اللہ نے اپنے برگزیدہ پیغمبروں کو ساری دنیا کی ہدایت کیلئے بھیج دیا، وہ اپنے فرمانبرداروں کو ثواب دینے پر اور نافرمانوں کو عذاب کرنے پر قادر ہے۔
پس کوئی باز پرس نہ تھی جو بھی چاہتا کہ میں رک جاؤں وہ رک سکتا تھا اور آنحضرت صلی اللہ علیہ و سلم پر اس کا رکنا مخفی رہ سکتا تھا۔
پس ہر کوئی اپنے بارے میں خود دیکھ اور سوچ لے کہ وہ کل کے اس یوم حساب کے لئے کیا آگے بھیج رہا ہے، و باللہ التوفیق لمایحب و یرید، ۷۔
پس ہم چلتے گئے اور ایک بہت بڑے درخت کے پاس آئے، اور میں نے اس سے بڑا اور اچھا درخت کبھی نہیں دیکھا، ان دونوں نے مجھے کہا اس پر چڑھیے۔
پس یوسف (علیہ السلام) نے اپنے بھائی کی بوری سے پہلے ان کی بوریوں کی تلاشی شروع کی پھر (بالآخر) اس (پیالے) کو اپنے (سگے) بھائی (بنیامین) کی بوری سے نکال لیا۔
پس یہ مقام بیت المقدس کا مقام ہے تو گویا اس آیت کی تفسیر یہ آیت ہے اور قرآن کی تفسیر اولا قرآن سے پھر حدیث سے پھر آثار سے کرنی چاہے۔
پس یہ مقام ماں باپ کے بارے میں تھا اور وہ مقام اولاد کے بارے میں اس کی بھی چار قسمیں اور ا س کی بھی چار قسمیں سبحان اللہ یہ ہے۔
پسر از لذت نای و نوش، این سخن در گوش نیاورد و بر قول من اعتراض کرد و گفت : راحت عاجل بہ تشویش محنت آجل منغص کردن خلاف رای خردمندان است۔
پل کے اوپر کھڑے ہو کر میں نے دونوں پہیوں کو ایک ایک کر کے اس بے پروائی کے ساتھ دریا میں پھینک دیا جیسے کوئی لیٹر بکس میں خط ڈالتا ہے۔
پلٹ جاؤ سیہ خانۂ غم سے اس سرد گپھا میں تو ہوا تک نہیں آتی جب تک غم جہاں کے حوالے ہوئے نہیں ہم زندگی کے جاننے والے ہوئے نہیں کہتا ہے۔
پناہ مانگنے کا بیان کفر سے پناہ مانگنی چاہئے "حضرت ابوسعید رضی اللہ عنہ کہتے ہیں کہ میں نے رسول کریم صلی اللہ علیہ وآلہ وسلم کو یہ کلمات فرماتے سنا ہے۔
پنڈت جی اور ملاّ جی چلتے چلتے میں آپ دونوں سے کہنا چاہتا ہوں کہ نو من دودھ میں اگر ایک قطرہ زہر پڑ جائے تو سارا دودھ زہریلا ہو جاتا ہے۔
پنکی کے بارے میں، پنکی کے لئے اچھا سا شوہر ڈھونڈنے کے سپنے کے بارے میں شاید بیوی کے پاس مستقبل کے نام پر کچھ اور بھی بوڑھے سپنے رہے ہوں، مگر۔
پورا سچ یہ ہے کہ رسول اللہ صلی اللہ علیہ و الہ و سلم کی ملکیت میں غلام آئے اور اس کے بعد آپ نے ان سب غلاموں کو آزاد کر دیا۔
پورے 23 سال کے زمانۂ نبوت میں ان پانچ یا چھ مواقع کے سوا قرآن مجید میں نہ حضور ﷺ کی کسی غلطی کا ذکر آیا ہے، نہ اس کی اصلاح کا۔
پوسٹ ماڈرن ازم کی ثقافتی یا معاشرتی جہت سے اختلاف ممکن ہے، لیکن لسانیاتی ماڈل کو محض اس بناء پر اہل مشرق کالعدم قرار نہیں دے سکتے کہ یہ مغرب زدہ ہے۔
پوسٹ ماڈرن ازم کے متعلق مندرجہ بالااقتباس میں جناب جوئیہ صاحب نے جولیا کرسٹیوا کی کو ’تھیوری‘ کہا ہے، جبکہ راقم کی پوسٹ ماڈرن لٹریری تھیوری کی اصطلاح پسند نہیں آئی۔
پوپ کا انتخاب ایسے افراد میں سے ہوتا (اور اب بھی اسی طرح کیا جاتا ہے) جو شادی کے بغیر عمر بسر کرتے وہ لوگ درحقیقت تجرد کو مقدس خیال کرتے تھے۔
پوپ کا حکم حتمی درجہ رکھتا تھا اور اس سے اختلاف رائے رکھنے والے شخص کو مرتد قرار دے کر اسے مذہبی عدالتوں کے ذریعے سزا دی جایا کرتی تھی۔
پوچھا راستے میں کچھ ہولناک چیزیں بھی دیکھیں جواب دیا ہاں اور اگر مجھے یہ کہا ہوا نہ ہوتا کہ گھبرانا مت تو میں ہول و دہشت سے ہلاک ہو گیا ہوتا۔
پوچھنے والے تو نے پوچھا لطف و کرم احسان کیا لب پر آئے حرف تمنا عشق کے یہ آداب نہیں منیر ملک لمبے لمبے ڈگر بھرتا سڑک کی طرف جا رہا تھا۔
پٹی پر مسح محمد بن ابان بلخی، عبدالرزاق، اسرائیل، عمرو بن خالد، زید بن علی، علی، حضرت علی بن ابی طالب کرم اللہ وجہہ فرماتے ہیں کہ میرا ایک پہنچا ٹوٹ گیا۔
پچھلی آیت میں بتلایا تھا کہ انسان خدا سے ڈرنے اس کا قرب حاصل کرنے اور اس کی راہ میں جہاد کرنے ہی سے فلاح و کامیابی کی امید کر سکتا ہے۔
پچھلے دو سو برس میں ریلوے، ٹیلی گرام، بلب، ٹیلی فون، ہوائی جہاز، موٹر کار، ٹیلی وژن، ادویات، میڈیکل کے آلات، کمپیوٹر اور انٹرنیٹ جیسی بے شمار چیزیں ایجاد ہو چکی ہیں۔
پچھلے سال ایک بار جب صبیحہ کسی کام سے سکول گئی تھی تو لوٹتے وقت اس نے لمبی سی راہداری میں کئی لڑکے لڑکیوں میں چاندنی اور عمران کو بھی دیکھا تھا۔
پچھنے لگوانے کے دن اور حضرت ابن عباس رضی اللہ عنہ کہتے ہیں کہ نبی کریم صلی اللہ علیہ و سلم سترھویں، انیسویں اور اکیسویں تاریخ کو سینگی کھنچوانا ناپسند فرماتے تھے۔
پڑھنے والا صرف الفاظ سے ہی محظوظ نہیں ہوتا بلکہ آیات جنت کو پڑھتے ہوئے جنت کے لذائذ اور آیات دوزخ پڑھتے ہوئے دوزخ کی شعلہ سامانیوں کو بھی محسوس کرتا ہے۔
پھر ( دوسری جماعتوں کے حق میں شفاعت کرنے کے لئے ) میں دوبارہ در رب العزت پر حاضر ہو کر اس کی خدمت میں پیش ہونے کی اجازت طلب کروں گا۔
پھر (دیکھا) ہمارا عذاب اور ڈرانا کیسا تھا اور البتہ ہم نے تو سمجھنے کے لیے قرآن کو آسان کر دیا پھر کوئی ہے کہ سمجھے قوم عاد نے بھی جھٹلایا تھا۔
پھر (چوتھی مرتبہ) کھڑے ہوئے اور کہا کہ یا رسول اللہ یہ تلوار مجھے مال غنیمت کے طور پر دے دیجئے کیا میں اس شخص کی طرح رہوں گا جو نادار ہے؟
پھر 1187ء میں سلطان صلاح الدین ایوبی نے بیت المقدس کو صلیبوں کے خونیں پنجوں سے آزاد کر لیا، جنہوں نے مسجد اقصی اور قبتہ الضحرہ کو گرجے میں بدل دیا تھا۔
پھر آنحضرت صلی اللہ علیہ و آلہ و سلم نے استدلال کے طور پر یہ آیت پڑھی: (لا تفتّح لہمْ ابْواب السّماۗء ولا یدْخلوْن الْجنّۃ حتّی یلج الْجمل فی سمّ الْخیاط) 7۔
پھر آنحضرت صلی اللہ علیہ وآلہ وسلم نے استدلال کے طور پر یہ آیت پڑھی: ( لا تفتّح لہمْ ابْواب السّماۗء ولا یدْخلوْن الْجنّۃ حتّی یلج الْجمل فیْ سمّ الْخیاط ) 7۔
پھر آپ ان پر افسوس کھا کھا کر ہلاک نہ ہو جائیں کیوں کہ اللہ خوب جانتا ہے جو وہ کر رہے ہیں اور اللہ ہی وہ ہے جو ہوائیں چلاتا ہے۔
پھر آپ ایک وادی میں پہنچے وہاں نہایت نفیس خوش گوار ٹھنڈی ہوا اور دل خوش کن معطر خوشبودار راحت وسکون کی مبارک صدائیں سن کر آپ نے پوچھا یہ کیا ہے؟
پھر آپ صلی اللہ علیہ و آلہ و سلم اترے اور میں کچھ دیر کے واسطے سوار ہوا پھر میں اترا اور آپ صلی اللہ علیہ و آلہ و سلم سوار ہوئے۔
پھر آپ صلی اللہ علیہ و آلہ و سلم مجھے کچھ نہ کچھ دیتے رہے یہاں تک کہ وہ اب میرے نزدیک مخلوق میں محبوب ترین ہو گئے امام ترمذی فرماتے ہیں۔
پھر آپ صلی اللہ علیہ و آلہ و سلم نے اس کی شباہت ملاحظہ فرمائی تو وہ شباہت بالکل صاف معلوم ہوئی اور عتبہ کی شکل و صورت اس سے ملتی تھی۔
پھر آپ صلی اللہ علیہ و آلہ و سلم نے اللہ کی حمد و ثنا بیان کی اور ارشاد فرمایا سورج اور چاند اللہ تعالی کی نشانیوں میں سے دو نشانیاں ہیں۔
پھر آپ صلی اللہ علیہ و آلہ و سلم نے اللہ کی حمدوثناء بیان کرنے کے بعد مجھ سے پوچھا کہ تمہیں لا إلہ إلّا اللّہ کہنے سے کونسی چیز روکتی ہے۔
پھر آپ صلی اللہ علیہ و آلہ و سلم نے تین مرتبہ لا إلہ إلّا اللّہ پڑھا اور فرمایا عرب کے لئے اس شر سے ہلاکت ہے جو قریب ہو گیا ہے۔
پھر آپ صلی اللہ علیہ و آلہ و سلم نے رکوع کیا تو صرف اس جماعت نے ہی رکوع کیا جو آپ صلی اللہ علیہ و آلہ و سلم کے ساتھ تھی۔
پھر آپ صلی اللہ علیہ و آلہ و سلم نے فرمایا اگر تم اس کو معاف کر دو تو تمہارے اور تمہارے ساتھی کے کہ جس کو اس نے قتل کیا ہے۔
پھر آپ صلی اللہ علیہ و آلہ و سلم نے فرمایا کہ جب تم میں سے کوئی بیمار ہو اور کسی چیز کی خواہش کرے تو اسے وہ چیز کھلا دینی چاہئے۔
پھر آپ صلی اللہ علیہ و آلہ و سلم کھڑے رہے اور دوسری جماعت آئی پھر آپ صلی اللہ علیہ و آلہ و سلم نے ان کے ساتھ دوسری رکعت ادا فرمائی۔
پھر آپ صلی اللہ علیہ و سلم نے فرمایا الْحمْد للّہ وسبْحان اللّہ ولا إلہ إلّا اللّہ واللّہ أکْبر سے اسی طرح گناہ جھڑتے ہیں جس طرح اس درخت کے پتے جھڑے۔
پھر آپ صلی اللہ علیہ و سلم نے کھجور کی ایک تر شاخ لی اور اس کو بیچ سے آدھوں آدھ چیرا انہیں ایک ایک کر کے دونوں قبروں پر گاڑ دیا۔
پھر آپ صلی اللہ علیہ وآلہ وسلم نے فرمایا کہ میں نے اس خواب کی تعبیر یہ لی کہ مدینہ کی وباء مہیعہ یعنی جحفہ کی طرف منتقل کر دی گئی ہے۔
پھر آپ میرے سارے دلائل کو اس طرح چٹکیوں میں اڑانے کی کوشش فرماتے ہیں کہ تم نے "لفاظی اور جذبات کا مرکب پیش کرنے میں سارا زور قلم صرف کیا ہے"۔
پھر آپ نہ بھولیں گے مگر جو اللہ چاہے بے شک وہ ہر ظاہر اور چھپی بات کو جانتا ہے اور ہم آپ کو آسان شریعت کے سمجھنے کی توفیق دیں گے۔
پھر آپ نے بطور تعزیت فرمایا بہن میں تمھیں قسم دیتا ہوں کہ جب قتل ہو جاؤں تو میرے غم میں اپنا گریبان چاک مت کرنا اور اپنا منہ مت پیٹنا 73۔
پھر آپ نے فرمایا اللہ نے بہت فضل کیا تم پر اس مزدلفہ میں تو بخش دیا تم میں سے گنہگار شخص کو نیک شخص کی وجہ سے اور جو نیک تھا۔
پھر آپ نے فرمایا اپنے دونوں ہاتھوں سے اشارہ کیا اور اپنی انگلیوں کو بند کر کے کھولا جیسے کوئی کچھ پھینکتا ہے اور فرمایا کہ انصار کے تمام گھروں میں ہے۔
پھر آپ نے وہ پانچ روٹیاں اور دو مچھلیاں لیں اور آسمان کی طرف دیکھ کر برکت دی اور روٹیاں توڑ کر صحابہ کرام کو دیں اور صحابہ کرام نے لوگوں کو۔
پھر آپ نے یہ بات حضور صلی اللہ علیہ و سلم کے گوش گذار کی لیکن وہ منافق پلٹ گیا اور صاف انکار کر گیا اور کہا کہ زید نے جھوٹ بولا۔
پھر آپﷺ سیدنا ابو موسی اور سیدنا بلال رضی اللہ عنہما کی طرف غصے کی حالت میں متوجہ ہوئے اور فرمایا کہ اس نے خوشخبری کو رد کیا اور تم قبول کرو۔
پھر آپﷺ مسجد میں تشریف لائے اور بڑے لمبے قیام اور رکوع اور سجود کے ساتھ آپﷺ نے نماز پڑھی، اس قدر طویل نماز پڑھتے میں نے کبھی آپﷺ کو نہیں دیکھا۔
پھر آپﷺ نے انہیں بلا بھیجا اور ان کی آنکھوں میں تھوک لگایا اور ان کے لئے دعا کی تو وہ بالکل اچھے ہو گئے گویا ان کو کوئی تکلیف نہ تھی۔
پھر آپﷺ نے فرمایا :’’ تم ( دنیا کے ) لوگوں میں ایسے ہو جیسے سفید بیل کی کھال میں ایک کالا بال یا کالے بیل کی کھال میں ایک سفید بال۔
پھر آپﷺ نے چالیس دن تک قبیلہ رعل اور ذکوان اور بنی لحیان اوربنی عصیہ کے لوگوں پر جنہوں نے اللہ اور اس کے رسولﷺ کی نافرمانی کی تھی، بد دعا کی۔
پھر آپﷺ چپ ہو رہے، یہاں تک کہ ہم سمجھے کہ آپﷺ اس مہینے کا نام کچھ اور رکھیں گے، پھر آپﷺ نے فرمایا کہ کیا یہ مہینہ ذوالحجہ کا نہیں ہے؟
پھر آپﷺ ہمارے بیچ میں بیٹھ گئے (یعنی میرے اور سیدہ فاطمہ رضی اللہ عنہا کے بیچ میں) یہاں تک کہ میں نے آپﷺ کے قدموں کی ٹھنڈک اپنے سینہ پر پائی۔
پھر آگے ساری حدیث بیان کی راوی کہتے ہیں کہ تلوار سے حضرت قتادہ رضی اللہ تعالی عنہ، حضرت ابو بکر رضی اللہ تعالی عنہ کے زمانہ میں مرتدین مراد لیتے ہیں۔
پھر اب وہ وہاں ٹھہر کر کیا کرتی! گھر پہنچی تو قفل کھولتے وقت کاغذ کی کھڑکھڑاہٹ محسوس ہوئی اور قفل سے ایک رول کیا ہوا کاغذ کا ٹکڑا پھنسا ہوا ملا۔
پھر ابو دردا مدینہ میں حضرت عمر کے پاس آئے اور ان سے یہ قصہ بیان کیا حضرت عمر نے معاویہ کو لکھا کہ ایسی بیع نہ کریں مگر برابر تول کر۔
